,tmp_var,amp_var,audio,subject,r_s,r_fs
0,0.09708677182499591,0.0015019978979335495,1.0,1.0,0.02521465207346757,0.023475274118288328
1,0.09708677182499591,0.0015019978979335495,1.0,2.0,0.040679703643894644,0.03133887225556385
2,0.09708677182499591,0.0015019978979335495,1.0,3.0,0.027102945817834536,0.04234215432519393
3,0.09708677182499591,0.0015019978979335495,1.0,4.0,0.007512915692527762,0.006936980013898249
4,0.09708677182499591,0.0015019978979335495,1.0,5.0,0.01591324773970287,0.022988511263005967
5,0.09708677182499591,0.0015019978979335495,1.0,6.0,0.05524236899071331,0.058748864267169486
6,0.09708677182499591,0.0015019978979335495,1.0,7.0,0.03391690555491633,0.04716572920560356
7,0.09708677182499591,0.0015019978979335495,1.0,8.0,0.03343390092659356,0.03542003539915852
8,0.09708677182499591,0.0015019978979335495,1.0,9.0,0.02722922617270664,0.031203694801950912
9,0.09708677182499591,0.0015019978979335495,1.0,10.0,0.03329400589330727,0.030728299742510904
10,0.09708677182499591,0.0015019978979335495,1.0,11.0,0.015736114268909113,0.022483969403190168
11,0.09708677182499591,0.0015019978979335495,1.0,12.0,0.008480243593332337,0.013927688163473617
12,0.09708677182499591,0.0015019978979335495,1.0,13.0,0.04167088652723381,0.04472021521968835
13,0.09708677182499591,0.0015019978979335495,1.0,14.0,0.05454820483405578,0.05609482545641161
14,0.08884715911167566,0.0016793318405625838,2.0,1.0,0.01983565395478612,0.023519615287508195
15,0.08884715911167566,0.0016793318405625838,2.0,2.0,0.03539040275821705,0.03512037417515296
16,0.08884715911167566,0.0016793318405625838,2.0,3.0,0.048904495533914245,0.06582131790256864
17,0.08884715911167566,0.0016793318405625838,2.0,4.0,0.014537522108391508,0.020337503376086568
18,0.08884715911167566,0.0016793318405625838,2.0,5.0,0.011312668820644849,0.0170550579106693
19,0.08884715911167566,0.0016793318405625838,2.0,6.0,0.03660519340680162,0.03862506436024397
20,0.08884715911167566,0.0016793318405625838,2.0,7.0,0.05267684709628468,0.06667323396904064
21,0.08884715911167566,0.0016793318405625838,2.0,8.0,0.012231340923329332,0.013448993904352167
22,0.08884715911167566,0.0016793318405625838,2.0,9.0,0.019654810393485714,0.016227498211111545
23,0.08884715911167566,0.0016793318405625838,2.0,10.0,0.02346395787688739,0.02504629300881525
24,0.08884715911167566,0.0016793318405625838,2.0,11.0,0.005018074636521225,0.013828863084950857
25,0.08884715911167566,0.0016793318405625838,2.0,12.0,0.009138969381949396,0.012963655122014929
26,0.08884715911167566,0.0016793318405625838,2.0,13.0,0.03325285313397274,0.04456189291290059
27,0.08884715911167566,0.0016793318405625838,2.0,14.0,0.05634930652455688,0.05832228123547891
