,temporal_variance,amplitude_variance,count,phoneme
0,0.010846827023652729,0.0005708521083491205,1349,IY
1,0.009829676515894283,0.0014121332244060576,607,OW
2,0.013342989220846275,0.001936003456224527,721,AE
3,0.008254320594938238,0.002886504220843858,445,AA
4,0.013566133085215294,0.0018968936329359627,963,EH
5,0.014938775285272118,0.0013604303816243995,752,ER
6,0.012745021810454235,0.0007844127194577939,1870,IH
7,0.009591208014290588,0.0014217609607386553,227,UH
8,0.01262224472501198,0.001017844750805421,3655,AH
9,0.011874454661660025,0.0010964167367590468,581,AO
10,0.004170857499875857,0.00041122036691565103,404,UW
11,0.009335691450015681,0.0010419349318016421,517,EY
12,0.015436043497488441,0.0024847946282318734,626,AY
13,0.0068827432220428504,0.001525735712446796,110,OY
14,0.01244747843932134,0.0026637585283998946,264,AW
15,0.014021133413527086,0.0002803879355015388,190,Y
16,0.013800708044728563,0.0008807250704287098,1392,L
17,0.01824419157732086,0.001464738408939809,1133,R
18,0.016326695873181127,0.0006501283097720737,946,W
19,0.012176204025035501,8.927149460891107e-05,725,B
20,0.005696657980182169,0.00010347115370904858,1761,D
21,0.014741192816068803,6.0159062214401224e-05,715,F
22,0.008748982886348991,0.0001597948953933027,1070,HH
23,0.011008694193395702,0.00014463662834097492,931,K
24,0.012922214483946814,0.0002397589364838155,952,M
25,0.010413199648797297,0.00017362912914998895,2373,N
26,0.011594234901738781,8.354203524073201e-05,455,P
27,0.01666934881275677,6.284253093444628e-05,1278,S
28,0.014766668608504552,9.380919575490192e-05,2432,T
29,0.007941138908566183,0.00019747583742091027,500,V
30,0.006389723510337528,0.00012635879122106398,944,Z
31,0.014632827715361804,5.6195939427871275e-05,1577,DH
32,0.01453137204286962,0.00022012816214772834,382,NG
33,0.014020568210135247,0.0001299416320991667,295,G
34,0.010021265754860434,0.0003727922603604399,279,SH
35,0.005784540052433944,0.00020402326636692953,118,CH
36,0.011123483416605566,4.362438555969626e-05,210,TH
37,0.027890079365079368,0.00013058572237518784,5,ZH
38,0.010270067975348178,0.00017634362353869822,83,JH
