,subject,phoneme,weight,svar,tvar,count
0,sub-001,IY,0.45799786400218445,0.003489085941800727,0.0716426874336437,1349
1,sub-001,OW,0.0832021601749123,0.0043541044042321895,0.07542279704553181,607
2,sub-001,AE,0.06577345160144077,0.006931779914101594,0.08205709516098753,721
3,sub-001,AA,0.04542741312806564,0.005679000119180113,0.06051876764022296,445
4,sub-001,EH,0.08624215644724584,0.006138875847706132,0.0813697448883545,963
5,sub-001,ER,0.09093103253920957,0.004988506932666679,0.08705811770971346,752
6,sub-001,IH,0.45221261199481255,0.003940573912407193,0.08274110856463797,1870
7,sub-001,UH,0.033205388768158484,0.004253789146951239,0.07313111245477143,227
8,sub-001,AH,0.31717658378952307,0.0049274698832071015,0.07982897631324444,3655
9,sub-001,AO,0.05434031311369618,0.004308807680753006,0.07683076391587858,581
10,sub-001,UW,0.04817952393243905,0.0017324031971243884,0.07266879366508079,404
11,sub-001,EY,0.460199780510381,0.0034973143939532408,0.07274070303102899,517
12,sub-001,AY,0.10995872159235366,0.005954200122843503,0.08562171833589666,626
13,sub-001,OY,0.042577164181398,0.005816735306129754,0.057154298082869516,110
14,sub-001,AW,0.0732002281796617,0.005283671065336925,0.07953025568443688,264
15,sub-001,Y,0.03712646612010092,0.003104865338035483,0.11760028726787727,190
16,sub-001,L,0.078510830881231,0.004097772651238384,0.08477952814267468,1392
17,sub-001,R,0.10654196374126872,0.004919442330211824,0.10050827274128243,1133
18,sub-001,W,0.15655940998544146,0.004837364042624449,0.11528410309548283,946
19,sub-001,B,0.6628621048323358,0.0014460358213638014,0.08342835410026078,725
20,sub-001,D,0.4343612083009401,0.0009534943346348497,0.054783281069775806,1761
21,sub-001,F,0.0498015437127526,0.0011349246706897785,0.0850352697411521,715
22,sub-001,HH,0.10749221713891888,0.0019788905816356724,0.05577150004720098,1070
23,sub-001,K,0.17456080065321117,0.0018068999691906232,0.07039753173020015,931
24,sub-001,M,0.051317040444810176,0.0022700018183277916,0.07514620227175837,952
25,sub-001,N,0.09742255448214682,0.0016651367025733756,0.06960200402678278,2373
26,sub-001,P,0.06120519087243869,0.0010814952595225788,0.07317871602082128,455
27,sub-001,S,0.14373637222802854,0.001203175727516339,0.089617974278109,1278
28,sub-001,T,0.5267942285999219,0.0015083247821953212,0.07712549259662313,2432
29,sub-001,V,0.03707901332112444,0.001800021258308774,0.05318383838383839,500
30,sub-001,Z,0.09026759865043735,0.0012825042522608323,0.0513880372385215,944
31,sub-001,DH,0.09176884711752675,0.001417672660096568,0.08007740691634159,1577
32,sub-001,NG,0.052095204530521085,0.002139221148471459,0.08201650623827951,382
33,sub-001,G,0.03667055181054825,0.0019330010528804966,0.10126103171965585,295
34,sub-001,SH,0.06622989605026884,0.003026548816605948,0.06900716213738914,279
35,sub-001,CH,0.032201089572774816,0.0017414162722957835,0.049105728292572516,118
36,sub-001,TH,0.02394327452722376,0.000977765531276409,0.07807345160286337,210
37,sub-001,ZH,0.0040336141726833065,0.002787920316060384,0.10024999999999999,5
38,sub-001,JH,0.027527444329990942,0.00227178868038509,0.07192611023805368,83
0,sub-002,IY,0.07156695669441686,0.003489085941800727,0.0716426874336437,1349
1,sub-002,OW,0.052565882970774705,0.0043541044042321895,0.07542279704553181,607
2,sub-002,AE,0.06069054189058256,0.006931779914101594,0.08205709516098753,721
3,sub-002,AA,0.04672993178720091,0.005679000119180113,0.06051876764022296,445
4,sub-002,EH,0.03527963091753874,0.006138875847706132,0.0813697448883545,963
5,sub-002,ER,0.0362722997645266,0.004988506932666679,0.08705811770971346,752
6,sub-002,IH,0.060010587151758624,0.003940573912407193,0.08274110856463797,1870
7,sub-002,UH,0.01662601822751485,0.004253789146951239,0.07313111245477143,227
8,sub-002,AH,0.09022962958220238,0.0049274698832071015,0.07982897631324444,3655
9,sub-002,AO,0.057931155695413274,0.004308807680753006,0.07683076391587858,581
10,sub-002,UW,0.03559644196255434,0.0017324031971243884,0.07266879366508079,404
11,sub-002,EY,0.028293775909871796,0.0034973143939532408,0.07274070303102899,517
12,sub-002,AY,0.060380132084693276,0.005954200122843503,0.08562171833589666,626
13,sub-002,OY,0.02137891673337648,0.005816735306129754,0.057154298082869516,110
14,sub-002,AW,0.06303611708804878,0.005283671065336925,0.07953025568443688,264
15,sub-002,Y,0.02800029899365013,0.003104865338035483,0.11760028726787727,190
16,sub-002,L,0.06698729846652986,0.004097772651238384,0.08477952814267468,1392
17,sub-002,R,0.03311271421720083,0.004919442330211824,0.10050827274128243,1133
18,sub-002,W,0.04486210058556386,0.004837364042624449,0.11528410309548283,946
19,sub-002,B,0.03852556171471064,0.0014460358213638014,0.08342835410026078,725
20,sub-002,D,0.04657349951729689,0.0009534943346348497,0.054783281069775806,1761
21,sub-002,F,0.039796145145879966,0.0011349246706897785,0.0850352697411521,715
22,sub-002,HH,0.04246863077926925,0.0019788905816356724,0.05577150004720098,1070
23,sub-002,K,0.04565626890541685,0.0018068999691906232,0.07039753173020015,931
24,sub-002,M,0.06225761956203003,0.0022700018183277916,0.07514620227175837,952
25,sub-002,N,0.05159348407967753,0.0016651367025733756,0.06960200402678278,2373
26,sub-002,P,0.046339629629585065,0.0010814952595225788,0.07317871602082128,455
27,sub-002,S,0.10435042082818939,0.001203175727516339,0.089617974278109,1278
28,sub-002,T,0.09600614625195306,0.0015083247821953212,0.07712549259662313,2432
29,sub-002,V,0.023759372168531398,0.001800021258308774,0.05318383838383839,500
30,sub-002,Z,0.046978733334837666,0.0012825042522608323,0.0513880372385215,944
31,sub-002,DH,0.042945557893920155,0.001417672660096568,0.08007740691634159,1577
32,sub-002,NG,0.02977271882150169,0.002139221148471459,0.08201650623827951,382
33,sub-002,G,0.02600498665127155,0.0019330010528804966,0.10126103171965585,295
34,sub-002,SH,0.038831593123793126,0.003026548816605948,0.06900716213738914,279
35,sub-002,CH,0.026311271311036475,0.0017414162722957835,0.049105728292572516,118
36,sub-002,TH,0.023570996841009134,0.000977765531276409,0.07807345160286337,210
37,sub-002,ZH,0.0020408523454253885,0.002787920316060384,0.10024999999999999,5
38,sub-002,JH,0.014544844816116023,0.00227178868038509,0.07192611023805368,83
0,sub-003,IY,0.07403477507111327,0.003489085941800727,0.0716426874336437,1349
1,sub-003,OW,0.030137033230506854,0.0043541044042321895,0.07542279704553181,607
2,sub-003,AE,0.04864060487176124,0.006931779914101594,0.08205709516098753,721
3,sub-003,AA,0.03747682311099493,0.005679000119180113,0.06051876764022296,445
4,sub-003,EH,0.026742676296575108,0.006138875847706132,0.0813697448883545,963
5,sub-003,ER,0.056519221420443126,0.004988506932666679,0.08705811770971346,752
6,sub-003,IH,0.039801369555808784,0.003940573912407193,0.08274110856463797,1870
7,sub-003,UH,0.013036825732895203,0.004253789146951239,0.07313111245477143,227
8,sub-003,AH,0.09200904047969936,0.0049274698832071015,0.07982897631324444,3655
9,sub-003,AO,0.0570373434995721,0.004308807680753006,0.07683076391587858,581
10,sub-003,UW,0.026514767530135774,0.0017324031971243884,0.07266879366508079,404
11,sub-003,EY,0.026138174327876417,0.0034973143939532408,0.07274070303102899,517
12,sub-003,AY,0.0486481939423411,0.005954200122843503,0.08562171833589666,626
13,sub-003,OY,0.019728646984384483,0.005816735306129754,0.057154298082869516,110
14,sub-003,AW,0.05304729989113167,0.005283671065336925,0.07953025568443688,264
15,sub-003,Y,0.01752744296962473,0.003104865338035483,0.11760028726787727,190
16,sub-003,L,0.0409614397120577,0.004097772651238384,0.08477952814267468,1392
17,sub-003,R,0.03164626259351772,0.004919442330211824,0.10050827274128243,1133
18,sub-003,W,0.04807823604328287,0.004837364042624449,0.11528410309548283,946
19,sub-003,B,0.037976503570346765,0.0014460358213638014,0.08342835410026078,725
20,sub-003,D,0.05035548555617099,0.0009534943346348497,0.054783281069775806,1761
21,sub-003,F,0.033429094144496706,0.0011349246706897785,0.0850352697411521,715
22,sub-003,HH,0.04790180522467343,0.0019788905816356724,0.05577150004720098,1070
23,sub-003,K,0.04541116577790383,0.0018068999691906232,0.07039753173020015,931
24,sub-003,M,0.033827056594595006,0.0022700018183277916,0.07514620227175837,952
25,sub-003,N,0.06467677379084914,0.0016651367025733756,0.06960200402678278,2373
26,sub-003,P,0.027624466459917944,0.0010814952595225788,0.07317871602082128,455
27,sub-003,S,0.06942273683431663,0.001203175727516339,0.089617974278109,1278
28,sub-003,T,0.09945802888765987,0.0015083247821953212,0.07712549259662313,2432
29,sub-003,V,0.02536158615332256,0.001800021258308774,0.05318383838383839,500
30,sub-003,Z,0.06311581084059763,0.0012825042522608323,0.0513880372385215,944
31,sub-003,DH,0.04818907307035168,0.001417672660096568,0.08007740691634159,1577
32,sub-003,NG,0.028758627915530285,0.002139221148471459,0.08201650623827951,382
33,sub-003,G,0.02085936391856207,0.0019330010528804966,0.10126103171965585,295
34,sub-003,SH,0.05287179438745092,0.003026548816605948,0.06900716213738914,279
35,sub-003,CH,0.01759083727277393,0.0017414162722957835,0.049105728292572516,118
36,sub-003,TH,0.017597315240130397,0.000977765531276409,0.07807345160286337,210
37,sub-003,ZH,0.0017715657221492361,0.002787920316060384,0.10024999999999999,5
38,sub-003,JH,0.013340566545525354,0.00227178868038509,0.07192611023805368,83
0,sub-004,IY,0.06923621055333287,0.003489085941800727,0.0716426874336437,1349
1,sub-004,OW,0.048339989975269684,0.0043541044042321895,0.07542279704553181,607
2,sub-004,AE,0.03704248972619424,0.006931779914101594,0.08205709516098753,721
3,sub-004,AA,0.03882152671029005,0.005679000119180113,0.06051876764022296,445
4,sub-004,EH,0.04178728281090052,0.006138875847706132,0.0813697448883545,963
5,sub-004,ER,0.0627845891179061,0.004988506932666679,0.08705811770971346,752
6,sub-004,IH,0.04720069997801449,0.003940573912407193,0.08274110856463797,1870
7,sub-004,UH,0.02063516705657553,0.004253789146951239,0.07313111245477143,227
8,sub-004,AH,0.12938814721433736,0.0049274698832071015,0.07982897631324444,3655
9,sub-004,AO,0.04651518002524153,0.004308807680753006,0.07683076391587858,581
10,sub-004,UW,0.0335318220327805,0.0017324031971243884,0.07266879366508079,404
11,sub-004,EY,0.04466147688375676,0.0034973143939532408,0.07274070303102899,517
12,sub-004,AY,0.06461734226665862,0.005954200122843503,0.08562171833589666,626
13,sub-004,OY,0.02819839556387179,0.005816735306129754,0.057154298082869516,110
14,sub-004,AW,0.040756961415429914,0.005283671065336925,0.07953025568443688,264
15,sub-004,Y,0.01921980299042517,0.003104865338035483,0.11760028726787727,190
16,sub-004,L,0.0725561497857568,0.004097772651238384,0.08477952814267468,1392
