,subject,phoneme,weight,amplitude_var,phase_var,count,correlation
0,1,IY,0.011361504254809312,0.0012378694112643576,0.06599980992568094,1349,0.0005285460145552759
1,1,OW,0.011209475084209202,0.001203938083650151,0.07070507974544218,607,0.0005285460145552759
2,1,AE,0.006159219332642546,0.001818609564986389,0.0965472261887681,721,0.0005285460145552759
3,1,AA,0.007137788092189388,0.0013476700733777902,0.06671433950192644,445,0.0005285460145552759
4,1,EH,0.0061863866641765405,0.0018155390565081496,0.07146555670357385,963,0.0005285460145552759
5,1,ER,0.005700076533530348,0.0011355597921028878,0.07563977180555195,752,0.0005285460145552759
6,1,IH,0.007393616735992927,0.0014827714721394045,0.08671454036159917,1870,0.0005285460145552759
7,1,UH,0.003458691925128667,0.0010863614740065015,0.05874578906452449,227,0.0005285460145552759
8,1,AH,0.009977586793594005,0.0013675487168092748,0.08072117576905538,3655,0.0005285460145552759
9,1,AO,0.007437826604558138,0.001186681907473642,0.08254439747138653,581,0.0005285460145552759
10,1,UW,0.007162842684697165,0.00040095398654107557,0.07774862690350667,404,0.0005285460145552759
11,1,EY,0.008833298790195154,0.0013874258433351245,0.0705445874741546,517,0.0005285460145552759
12,1,AY,0.0064049076009015556,0.001654817325538124,0.10410378848024832,626,0.0005285460145552759
13,1,OY,0.005467887727685921,0.001315328652059948,0.07599584278155706,110,0.0005285460145552759
14,1,AW,0.0070930367781410555,0.0010777934465830768,0.08910443827691215,264,0.0005285460145552759
15,1,Y,0.003550392231454694,0.0009359861589434442,0.08929362880886427,190,0.0005285460145552759
16,1,L,0.009652302143025936,0.0007861109986912612,0.081077346743295,1392,0.0005285460145552759
17,1,R,0.006610466441629424,0.000993281857759541,0.08713585228148335,1133,0.0005285460145552759
18,1,W,0.008733984428145537,0.0009192832713842851,0.09080714303620821,946,0.0005285460145552759
19,1,B,0.007013925070308728,0.0004036251751204172,0.09117958562735438,725,0.0005285460145552759
20,1,D,0.012421449412574045,0.0003412828836440986,0.051288382944084054,1761,0.0005285460145552759
21,1,F,0.004410879083988896,0.0002922442177223135,0.0708181578769814,715,0.0005285460145552759
22,1,HH,0.0044142833026315775,0.0006842883729673064,0.06396795053337109,1070,0.0005285460145552759
23,1,K,0.00971394282542692,0.00046195616779781055,0.05887404370985775,931,0.0005285460145552759
24,1,M,0.007889060118316258,0.0005502088469867727,0.08649637959759067,952,0.0005285460145552759
25,1,N,0.01038217322476919,0.0005760286850681602,0.0740142743429722,2373,0.0005285460145552759
26,1,P,0.006371364683588097,0.00030557063296763633,0.06813957971852709,455,0.0005285460145552759
27,1,S,0.008199755310425971,0.000948525612409763,0.0790466853234765,1278,0.0005285460145552759
28,1,T,0.010686670297794288,0.00046681895568169597,0.07936271600052762,2432,0.0005285460145552759
29,1,V,0.004048847421161278,0.0004692946064571413,0.0677070707070707,500,0.0005285460145552759
30,1,Z,0.007877168900417349,0.0007330359141780802,0.07816596656639029,944,0.0005285460145552759
31,1,DH,0.007658589133125925,0.0003475515087490006,0.08300939003221817,1577,0.0005285460145552759
32,1,NG,0.004869226051908878,0.0008730321558098486,0.07260897567920102,382,0.0005285460145552759
33,1,G,0.005917810913537482,0.0006561455123342353,0.12069569070566079,295,0.0005285460145552759
34,1,SH,0.005959163747459334,0.0014288682946305457,0.062101718425323124,279,0.0005285460145552759
35,1,CH,0.0038828486342445487,0.0007523296744396427,0.05537347707444559,118,0.0005285460145552759
36,1,TH,0.003387810805846244,0.0003852903116453581,0.08909949164851125,210,0.0005285460145552759
37,1,ZH,0.0005945033935315357,0.0008710527003467043,0.12174999999999998,5,0.0005285460145552759
38,1,JH,0.003368859464196741,0.0009758183179604242,0.07389173671913327,83,0.0005285460145552759
0,2,IY,0.013161790394194883,0.0012378694112643576,0.06599980992568094,1349,0.02852303812331929
1,2,OW,0.010667778447528824,0.001203938083650151,0.07070507974544218,607,0.02852303812331929
2,2,AE,0.010982248403593206,0.001818609564986389,0.0965472261887681,721,0.02852303812331929
3,2,AA,0.008888442059401506,0.0013476700733777902,0.06671433950192644,445,0.02852303812331929
4,2,EH,0.0066616963904728875,0.0018155390565081496,0.07146555670357385,963,0.02852303812331929
5,2,ER,0.006307762391746768,0.0011355597921028878,0.07563977180555195,752,0.02852303812331929
6,2,IH,0.011680886670579474,0.0014827714721394045,0.08671454036159917,1870,0.02852303812331929
7,2,UH,0.0029852185871066996,0.0010863614740065015,0.05874578906452449,227,0.02852303812331929
8,2,AH,0.015769168694629895,0.0013675487168092748,0.08072117576905538,3655,0.02852303812331929
9,2,AO,0.011080797453714692,0.001186681907473642,0.08254439747138653,581,0.02852303812331929
10,2,UW,0.006869186600407252,0.00040095398654107557,0.07774862690350667,404,0.02852303812331929
11,2,EY,0.005754255224768605,0.0013874258433351245,0.0705445874741546,517,0.02852303812331929
12,2,AY,0.011355049606213157,0.001654817325538124,0.10410378848024832,626,0.02852303812331929
13,2,OY,0.004039144555396752,0.001315328652059948,0.07599584278155706,110,0.02852303812331929
14,2,AW,0.011719599884979835,0.0010777934465830768,0.08910443827691215,264,0.02852303812331929
15,2,Y,0.005201024970682044,0.0009359861589434442,0.08929362880886427,190,0.02852303812331929
16,2,L,0.01310507871060126,0.0007861109986912612,0.081077346743295,1392,0.02852303812331929
17,2,R,0.005956314638470969,0.000993281857759541,0.08713585228148335,1133,0.02852303812331929
18,2,W,0.008965715803255945,0.0009192832713842851,0.09080714303620821,946,0.02852303812331929
19,2,B,0.0072374459542760275,0.0004036251751204172,0.09117958562735438,725,0.02852303812331929
20,2,D,0.007733917564344423,0.0003412828836440986,0.051288382944084054,1761,0.02852303812331929
21,2,F,0.007914567334119056,0.0002922442177223135,0.0708181578769814,715,0.02852303812331929
22,2,HH,0.007203672924530193,0.0006842883729673064,0.06396795053337109,1070,0.02852303812331929
23,2,K,0.00857928747915389,0.00046195616779781055,0.05887404370985775,931,0.02852303812331929
24,2,M,0.011682585457486697,0.0005502088469867727,0.08649637959759067,952,0.02852303812331929
25,2,N,0.009932696278545395,0.0005760286850681602,0.0740142743429722,2373,0.02852303812331929
26,2,P,0.00867053350671899,0.00030557063296763633,0.06813957971852709,455,0.02852303812331929
27,2,S,0.01108817494641544,0.000948525612409763,0.0790466853234765,1278,0.02852303812331929
28,2,T,0.016980753520475407,0.00046681895568169597,0.07936271600052762,2432,0.02852303812331929
29,2,V,0.004898930693350344,0.0004692946064571413,0.0677070707070707,500,0.02852303812331929
30,2,Z,0.007595012187329494,0.0007330359141780802,0.07816596656639029,944,0.02852303812331929
31,2,DH,0.007849180263456115,0.0003475515087490006,0.08300939003221817,1577,0.02852303812331929
32,2,NG,0.0059029592624041905,0.0008730321558098486,0.07260897567920102,382,0.02852303812331929
33,2,G,0.004988172017718289,0.0006561455123342353,0.12069569070566079,295,0.02852303812331929
34,2,SH,0.007191977687833456,0.0014288682946305457,0.062101718425323124,279,0.02852303812331929
35,2,CH,0.004646176564495488,0.0007523296744396427,0.05537347707444559,118,0.02852303812331929
36,2,TH,0.004411290719807943,0.0003852903116453581,0.08909949164851125,210,0.02852303812331929
37,2,ZH,0.0003742998909896111,0.0008710527003467043,0.12174999999999998,5,0.02852303812331929
38,2,JH,0.0027447947011104506,0.0009758183179604242,0.07389173671913327,83,0.02852303812331929
0,3,IY,0.014245205837462567,0.0012378694112643576,0.06599980992568094,1349,0.03609780507727737
1,3,OW,0.006035251089136984,0.001203938083650151,0.07070507974544218,607,0.03609780507727737
2,3,AE,0.009300299983935589,0.001818609564986389,0.0965472261887681,721,0.03609780507727737
3,3,AA,0.0073045475091363665,0.0013476700733777902,0.06671433950192644,445,0.03609780507727737
4,3,EH,0.005252595212380146,0.0018155390565081496,0.07146555670357385,963,0.03609780507727737
5,3,ER,0.009679662546997949,0.0011355597921028878,0.07563977180555195,752,0.03609780507727737
6,3,IH,0.007293149743311464,0.0014827714721394045,0.08671454036159917,1870,0.03609780507727737
7,3,UH,0.002567922938733777,0.0010863614740065015,0.05874578906452449,227,0.03609780507727737
8,3,AH,0.017501813564476533,0.0013675487168092748,0.08072117576905538,3655,0.03609780507727737
9,3,AO,0.011302560522643867,0.001186681907473642,0.08254439747138653,581,0.03609780507727737
10,3,UW,0.00466247502528596,0.00040095398654107557,0.07774862690350667,404,0.03609780507727737
11,3,EY,0.005259094302128426,0.0013874258433351245,0.0705445874741546,517,0.03609780507727737
12,3,AY,0.00890774019280652,0.001654817325538124,0.10410378848024832,626,0.03609780507727737
13,3,OY,0.004183046140216921,0.001315328652059948,0.07599584278155706,110,0.03609780507727737
14,3,AW,0.00967981262903828,0.0010777934465830768,0.08910443827691215,264,0.03609780507727737
15,3,Y,0.003441222357033517,0.0009359861589434442,0.08929362880886427,190,0.03609780507727737
16,3,L,0.007706181588190335,0.0007861109986912612,0.081077346743295,1392,0.03609780507727737
17,3,R,0.005923793676471973,0.000993281857759541,0.08713585228148335,1133,0.03609780507727737
18,3,W,0.009904927556206682,0.0009192832713842851,0.09080714303620821,946,0.03609780507727737
19,3,B,0.0071695604077997325,0.0004036251751204172,0.09117958562735438,725,0.03609780507727737
20,3,D,0.0108791653905175,0.0003412828836440986,0.051288382944084054,1761,0.03609780507727737
21,3,F,0.007510701307280032,0.0002922442177223135,0.0708181578769814,715,0.03609780507727737
22,3,HH,0.008881176152679264,0.0006842883729673064,0.06396795053337109,1070,0.03609780507727737
23,3,K,0.009236117142934019,0.00046195616779781055,0.05887404370985775,931,0.03609780507727737
24,3,M,0.006287933725271617,0.0005502088469867727,0.08649637959759067,952,0.03609780507727737
25,3,N,0.012668541446954064,0.0005760286850681602,0.0740142743429722,2373,0.03609780507727737
26,3,P,0.005480444205700947,0.00030557063296763633,0.06813957971852709,455,0.03609780507727737
27,3,S,0.00613542303954769,0.000948525612409763,0.0790466853234765,1278,0.03609780507727737
28,3,T,0.019441207034654753,0.00046681895568169597,0.07936271600052762,2432,0.03609780507727737
29,3,V,0.00480743184385562,0.0004692946064571413,0.0677070707070707,500,0.03609780507727737
30,3,Z,0.01120999619010282,0.0007330359141780802,0.07816596656639029,944,0.03609780507727737
31,3,DH,0.009386135849240022,0.0003475515087490006,0.08300939003221817,1577,0.03609780507727737
32,3,NG,0.0056165413281407525,0.0008730321558098486,0.07260897567920102,382,0.03609780507727737
33,3,G,0.0038301336684651837,0.0006561455123342353,0.12069569070566079,295,0.03609780507727737
34,3,SH,0.00962812879314451,0.0014288682946305457,0.062101718425323124,279,0.03609780507727737
35,3,CH,0.0030644778377312623,0.0007523296744396427,0.05537347707444559,118,0.03609780507727737
36,3,TH,0.0034268928004432824,0.0003852903116453581,0.08909949164851125,210,0.03609780507727737
37,3,ZH,0.00035212899535781635,0.0008710527003467043,0.12174999999999998,5,0.03609780507727737
38,3,JH,0.002594885985893227,0.0009758183179604242,0.07389173671913327,83,0.03609780507727737
0,4,IY,0.01657428315395494,0.0012378694112643576,0.06599980992568094,1349,0.06744498404239092
1,4,OW,0.01227228141639674,0.001203938083650151,0.07070507974544218,607,0.06744498404239092
2,4,AE,0.009222200848912473,0.001818609564986389,0.0965472261887681,721,0.06744498404239092
3,4,AA,0.009661258061155717,0.0013476700733777902,0.06671433950192644,445,0.06744498404239092
4,4,EH,0.009290090589429832,0.0018155390565081496,0.07146555670357385,963,0.06744498404239092
5,4,ER,0.013417129512827667,0.0011355597921028878,0.07563977180555195,752,0.06744498404239092
6,4,IH,0.012089378430216026,0.0014827714721394045,0.08671454036159917,1870,0.06744498404239092
7,4,UH,0.005187720224975018,0.0010863614740065015,0.05874578906452449,227,0.06744498404239092
8,4,AH,0.03023882607296657,0.0013675487168092748,0.08072117576905538,3655,0.06744498404239092
9,4,AO,0.011260902976614853,0.001186681907473642,0.08254439747138653,581,0.06744498404239092
10,4,UW,0.007856266769645258,0.00040095398654107557,0.07774862690350667,404,0.06744498404239092
11,4,EY,0.010035326253416372,0.0013874258433351245,0.0705445874741546,517,0.06744498404239092
12,4,AY,0.015871031959870732,0.001654817325538124,0.10410378848024832,626,0.06744498404239092
13,4,OY,0.007094181923991633,0.001315328652059948,0.07599584278155706,110,0.06744498404239092
14,4,AW,0.008653737077717308,0.0010777934465830768,0.08910443827691215,264,0.06744498404239092
15,4,Y,0.004561375527577847,0.0009359861589434442,0.08929362880886427,190,0.06744498404239092
16,4,L,0.017071822543441546,0.0007861109986912612,0.081077346743295,1392,0.06744498404239092
17,4,R,0.008990113982084028,0.000993281857759541,0.08713585228148335,1133,0.06744498404239092
18,4,W,0.018792323856756346,0.0009192832713842851,0.09080714303620821,946,0.06744498404239092
19,4,B,0.010770339682817546,0.0004036251751204172,0.09117958562735438,725,0.06744498404239092
20,4,D,0.02280364782948182,0.0003412828836440986,0.051288382944084054,1761,0.06744498404239092
21,4,F,0.014593618629246902,0.0002922442177223135,0.0708181578769814,715,0.06744498404239092
22,4,HH,0.01165826556008126,0.0006842883729673064,0.06396795053337109,1070,0.06744498404239092
23,4,K,0.014461878762732985,0.00046195616779781055,0.05887404370985775,931,0.06744498404239092
24,4,M,0.007596977902013445,0.0005502088469867727,0.08649637959759067,952,0.06744498404239092
25,4,N,0.01082151456705817,0.0005760286850681602,0.0740142743429722,2373,0.06744498404239092
26,4,P,0.013628697115063433,0.00030557063296763633,0.06813957971852709,455,0.06744498404239092
27,4,S,0.013389178788699056,0.000948525612409763,0.0790466853234765,1278,0.06744498404239092
28,4,T,0.025290905913903615,0.00046681895568169597,0.07936271600052762,2432,0.06744498404239092
29,4,V,0.006271776158449499,0.0004692946064571413,0.0677070707070707,500,0.06744498404239092
30,4,Z,0.01316422560951675,0.0007330359141780802,0.07816596656639029,944,0.06744498404239092
31,4,DH,0.011756323364794628,0.0003475515087490006,0.08300939003221817,1577,0.06744498404239092
32,4,NG,0.006895778722082818,0.0008730321558098486,0.07260897567920102,382,0.06744498404239092
33,4,G,0.005867958429184542,0.0006561455123342353,0.12069569070566079,295,0.06744498404239092
34,4,SH,0.009686072479262318,0.0014288682946305457,0.062101718425323124,279,0.06744498404239092
35,4,CH,0.005936882652848627,0.0007523296744396427,0.05537347707444559,118,0.06744498404239092
36,4,TH,0.004825940981287024,0.0003852903116453581,0.08909949164851125,210,0.06744498404239092
37,4,ZH,0.0005600235331411279,0.0008710527003467043,0.12174999999999998,5,0.06744498404239092
38,4,JH,0.0037661278446309504,0.0009758183179604242,0.07389173671913327,83,0.06744498404239092
