"","occurrence","amplitude","phase","correlation"
"1",0.575780110272423,0.0517631240645602,-0.0254404446490856,0.0597954236416886
"2",0.601654427287812,0.116408066309729,-0.0241891205662978,0.0583190898173653
"3",0.61515249841441,0.0872517977928121,0.000994877888509757,0.160136085895369
"4",0.631665783079165,0.0829578629237871,-0.0454276903035427,0.0159671022695463
"5",0.540057448193709,0.113637156283385,-0.032370905512134,0.113266978709865
"6",0.63608966981499,0.0720441865032548,-0.00952570834753665,0.0747218955626549
"7",0.6689927115008,0.081760221643586,-0.0284685223565632,0.0903787056633751
"8",0.631576986941821,0.0925992836832374,-0.0463434079233346,0.152034041793739
"9",0.638518350505735,0.0912799711346898,-0.0834258009870044,0.192333658451476
"10",0.646672025430383,0.0912847515849873,0.0175314249136485,0.168275888913443
"11",0.640865218842387,0.0969795059094412,-0.0337972262299544,0.100026284245688
"12",0.677511472833112,0.0890312628311564,-0.034850386736709,0.0667151823377125
"13",0.625015018874844,0.118043302494186,-0.0154450746411916,0.133005637699885
"14",0.634142359754322,0.0974463405786069,-0.0509006531027844,0.131360162466657
"15",0.589610417710683,0.0866106167451148,-0.0489461707970429,0.122453900313376
"16",0.596223287244691,0.0814653590136666,-0.0503994539886878,0.162843193275578
"17",0.615032021851799,0.0825019269535702,-0.0318498551282105,0.15266910736275
"18",0.626004701892637,0.119513201919541,-0.0321492081577978,0.0605498955139399
"19",0.615485999901127,0.091602839484408,-0.00755466536011527,0.127700815401005
"20",0.61659222781909,0.0085832907447989,-0.076430479110014,0.121658373024918
"21",0.643828209609204,0.106799271242512,-0.0078002039128591,0.158443947624652
"22",0.574046952986036,0.0561828979065489,-0.0281282892608208,0.116994215622926
"23",0.605678863841604,0.0537133272199908,-0.041425391542495,0.172227174054531
"24",0.600268623504727,0.0893950584651256,-0.0225937093650735,0.137916341257098
"25",0.610736662608155,0.0799471400793913,-0.0440618329446594,0.100594705263716
"26",0.614356052633828,0.106189672397566,-0.0716017145285652,0.0950320560853042
"27",0.626816359342725,0.113392531555383,-0.00514461057556952,0.134776784047944
"28",0.630663306279404,0.0969729324713961,-0.031565680856566,0.0346704036114894
"29",0.645512631936708,0.0920202420966689,-0.0199406594197034,0.0844580572593935
"30",0.633794322282007,0.0953123919543245,-0.0190448620273893,0.122698155772354
"31",0.662099365821044,0.0872793116177192,-0.0146499498583696,0.106821156507541
"32",0.588559883153587,0.067255921741281,-0.052899656291447,0.0666363895401296
"33",0.611483705267653,0.0825815405243799,-0.0382237720332598,0.10418208886553
"34",0.648873075203491,0.0933634340115232,-0.0452743363622693,0.126465860677609
"35",0.627323632736295,0.104091547489221,-0.0830952820513545,0.0549966426208105
"36",0.61157746635441,0.0396509400186047,-0.0405693653508846,0.0151816570006148
"37",0.617886327299689,0.0858299486199425,-0.0133714554263921,0.104265598747088
