,subject,phoneme,weight,svar,tvar,count
0,sub-001,IY,0.46764292373767996,0.003489085941800727,0.0716426874336437,1349
1,sub-001,OW,0.1000428485572297,0.0043541044042321895,0.07542279704553181,607
2,sub-001,AE,0.06932864103278107,0.006931779914101594,0.08205709516098753,721
3,sub-001,AA,0.05112039433747234,0.005679000119180113,0.06051876764022296,445
4,sub-001,EH,0.04688575877990951,0.006138875847706132,0.0813697448883545,963
5,sub-001,ER,0.1404117508767373,0.004988506932666679,0.08705811770971346,752
6,sub-001,IH,0.46625111457992596,0.003940573912407193,0.08274110856463797,1870
7,sub-001,UH,0.03676919588987855,0.004253789146951239,0.07313111245477143,227
8,sub-001,AH,0.3346164199945741,0.0049274698832071015,0.07982897631324444,3655
9,sub-001,AO,0.06489936254971707,0.004308807680753006,0.07683076391587858,581
10,sub-001,UW,0.04970311643001156,0.0017324031971243884,0.07266879366508079,404
11,sub-001,EY,0.5505737696754539,0.0034973143939532408,0.07274070303102899,517
12,sub-001,AY,0.0896540796265488,0.005954200122843503,0.08562171833589666,626
13,sub-001,OY,0.03510234979569576,0.005816735306129754,0.057154298082869516,110
14,sub-001,AW,0.1078935482387612,0.005283671065336925,0.07953025568443688,264
15,sub-001,Y,0.026511203502127365,0.003104865338035483,0.11760028726787727,190
16,sub-001,L,0.05666960064515975,0.004097772651238384,0.08477952814267468,1392
17,sub-001,R,0.08286396659497233,0.004919442330211824,0.10050827274128243,1133
18,sub-001,W,0.15465839431005787,0.004837364042624449,0.11528410309548283,946
19,sub-001,B,0.6834120844756442,0.0014460358213638014,0.08342835410026078,725
20,sub-001,D,0.47102237633252775,0.0009534943346348497,0.054783281069775806,1761
21,sub-001,F,0.040477189861570624,0.0011349246706897785,0.0850352697411521,715
22,sub-001,HH,0.10557318872641226,0.0019788905816356724,0.05577150004720098,1070
23,sub-001,K,0.15228494747629007,0.0018068999691906232,0.07039753173020015,931
24,sub-001,M,0.049121779781313685,0.0022700018183277916,0.07514620227175837,952
25,sub-001,N,0.11576712262107808,0.0016651367025733756,0.06960200402678278,2373
26,sub-001,P,0.048993983191240556,0.0010814952595225788,0.07317871602082128,455
27,sub-001,S,0.09992821285569309,0.001203175727516339,0.089617974278109,1278
28,sub-001,T,0.5513508477201642,0.0015083247821953212,0.07712549259662313,2432
29,sub-001,V,0.0455247382839374,0.001800021258308774,0.05318383838383839,500
30,sub-001,Z,0.09879023380706525,0.0012825042522608323,0.0513880372385215,944
31,sub-001,DH,0.10013740588237818,0.001417672660096568,0.08007740691634159,1577
32,sub-001,NG,0.05514799186492066,0.002139221148471459,0.08201650623827951,382
33,sub-001,G,0.03766859988823183,0.0019330010528804966,0.10126103171965585,295
34,sub-001,SH,0.05758919979621054,0.003026548816605948,0.06900716213738914,279
35,sub-001,CH,0.03162682744565278,0.0017414162722957835,0.049105728292572516,118
36,sub-001,TH,0.02451348364190954,0.000977765531276409,0.07807345160286337,210
37,sub-001,ZH,0.004136528818210716,0.002787920316060384,0.10024999999999999,5
38,sub-001,JH,0.027813315527135826,0.00227178868038509,0.07192611023805368,83
0,sub-002,IY,0.09276973743365684,0.003489085941800727,0.0716426874336437,1349
1,sub-002,OW,0.05149676288147146,0.0043541044042321895,0.07542279704553181,607
2,sub-002,AE,0.07517628205004621,0.006931779914101594,0.08205709516098753,721
3,sub-002,AA,0.04530782134071789,0.005679000119180113,0.06051876764022296,445
4,sub-002,EH,0.04152938822510488,0.006138875847706132,0.0813697448883545,963
5,sub-002,ER,0.036843277351270874,0.004988506932666679,0.08705811770971346,752
6,sub-002,IH,0.06593541015926412,0.003940573912407193,0.08274110856463797,1870
7,sub-002,UH,0.01762273023387357,0.004253789146951239,0.07313111245477143,227
8,sub-002,AH,0.11118372719054459,0.0049274698832071015,0.07982897631324444,3655
9,sub-002,AO,0.06851117450025117,0.004308807680753006,0.07683076391587858,581
10,sub-002,UW,0.04126953131042539,0.0017324031971243884,0.07266879366508079,404
11,sub-002,EY,0.03141692724478642,0.0034973143939532408,0.07274070303102899,517
12,sub-002,AY,0.08512683066899249,0.005954200122843503,0.08562171833589666,626
13,sub-002,OY,0.02201298608307572,0.005816735306129754,0.057154298082869516,110
14,sub-002,AW,0.06607435319713961,0.005283671065336925,0.07953025568443688,264
15,sub-002,Y,0.029560218715413967,0.003104865338035483,0.11760028726787727,190
16,sub-002,L,0.07383152150330317,0.004097772651238384,0.08477952814267468,1392
17,sub-002,R,0.03693040075213296,0.004919442330211824,0.10050827274128243,1133
18,sub-002,W,0.06276023182642608,0.004837364042624449,0.11528410309548283,946
19,sub-002,B,0.04320396357945185,0.0014460358213638014,0.08342835410026078,725
20,sub-002,D,0.052443466026388975,0.0009534943346348497,0.054783281069775806,1761
21,sub-002,F,0.04787275464410054,0.0011349246706897785,0.0850352697411521,715
22,sub-002,HH,0.04647354096312302,0.0019788905816356724,0.05577150004720098,1070
23,sub-002,K,0.048826728403820706,0.0018068999691906232,0.07039753173020015,931
24,sub-002,M,0.06789522677540016,0.0022700018183277916,0.07514620227175837,952
25,sub-002,N,0.04973341011918663,0.0016651367025733756,0.06960200402678278,2373
26,sub-002,P,0.048015624383648356,0.0010814952595225788,0.07317871602082128,455
27,sub-002,S,0.10445014823362295,0.001203175727516339,0.089617974278109,1278
28,sub-002,T,0.09837535326770755,0.0015083247821953212,0.07712549259662313,2432
29,sub-002,V,0.02558492625248559,0.001800021258308774,0.05318383838383839,500
30,sub-002,Z,0.05178855920946961,0.0012825042522608323,0.0513880372385215,944
