,subject_id,weight,phoneme
0,0,0.8575927253506902,IY
1,0,0.17384938913546147,OW
2,0,0.11579743591590462,AE
3,0,0.13814948279549585,AA
4,0,0.13088851666061238,EH
5,0,0.18725971898158408,ER
6,0,0.8355984405604139,IH
7,0,0.07066036145149161,UH
8,0,0.5725128803697821,AH
9,0,0.12414376500221053,AO
10,0,0.07783014528593325,UW
11,0,0.8906746313065327,EY
12,0,0.17142013978532708,AY
13,0,0.07453562848895799,OY
14,0,0.09617061567478119,AW
15,0,0.06853974774605624,Y
16,0,0.17727426598483376,L
17,0,0.21376746774859398,R
18,0,0.2637784651454808,W
19,0,1.214073643827679,B
20,0,0.7130925008468101,D
21,0,0.09832540767431876,F
22,0,0.1979440415150034,HH
23,0,0.3139284984340249,K
24,0,0.10029723699251027,M
25,0,0.15982683194223882,N
26,0,0.0774889317180708,P
27,0,0.22108730257000708,S
28,0,0.9506989200779756,T
29,0,0.07169982846729735,V
30,0,0.1868789808821955,Z
31,0,0.13618861470002755,DH
32,0,0.08234083168923001,NG
33,0,0.0695475181565218,G
34,0,0.1282169963302288,SH
35,0,0.05083096503544144,CH
36,0,0.024552904079604854,TH
37,0,0.0037977512709010675,ZH
38,0,0.038337637093991135,JH
39,1,0.0848348956548421,IY
40,1,0.09809022221019194,OW
41,1,0.12291921337204334,AE
42,1,0.14197218482936536,AA
43,1,0.04698178302272226,EH
44,1,0.07451487039730778,ER
45,1,0.10618058545564965,IH
46,1,0.0278240759968828,UH
47,1,0.10717998554040697,AH
48,1,0.11832301936332629,AO
49,1,0.05394438842067767,UW
50,1,0.05835894519545894,EY
51,1,0.12179509113160034,AY
52,1,0.037547041533469716,OY
53,1,0.10034708606575338,AW
54,1,0.034679620264259366,Y
55,1,0.10171287569818753,L
56,1,0.04324704989406418,R
57,1,0.07122437860611415,W
58,1,0.06812144614883428,B
59,1,0.09292877087751227,D
60,1,0.07952981290942966,F
61,1,0.07055629817317996,HH
62,1,0.08807092881138706,K
63,1,0.07520991843545034,M
64,1,0.11156060806654074,N
65,1,0.04909528055108843,P
66,1,0.16277268616464666,S
67,1,0.09459643723178567,T
68,1,0.03322017578072327,V
69,1,0.06473434770172037,Z
70,1,0.052453779116878506,DH
71,1,0.042637319334292274,NG
72,1,0.04355690151720901,G
73,1,0.06570231458317304,SH
74,1,0.03052478717039325,CH
75,1,0.02438111307809195,TH
76,1,0.003731138567343388,ZH
77,1,0.03366718086960114,JH
78,2,0.08463486722754353,IY
